,Positive,Neutral,Negative
350,0.135429,0.8459306,0.018640488
351,0.013712841,0.16167872,0.8246084
352,0.06384875,0.9201904,0.015960755
353,0.13272132,0.82214624,0.045132432
354,0.19325359,0.78726727,0.019479046
355,0.26945215,0.6766885,0.053859387
356,0.92521226,0.07014844,0.004639178
357,0.12820059,0.25928798,0.61251146
358,0.0087443255,0.090428166,0.9008275
359,0.97607124,0.02154884,0.0023800854
360,0.69894046,0.29711494,0.0039446778
361,0.092253625,0.8769209,0.03082553
362,0.0049487446,0.04967314,0.945378
363,0.9028136,0.09320544,0.003981004
364,0.2789442,0.7121613,0.00889429
365,0.18985458,0.6825587,0.12758678
366,0.9803824,0.017389074,0.0022285369
367,0.28808087,0.70637333,0.0055457833
368,0.049933117,0.91628176,0.033785164
369,0.14575666,0.823587,0.030656373
370,0.25367868,0.73638856,0.009932693
371,0.00880418,0.19455339,0.7966425
372,0.09039665,0.90067554,0.008927705
373,0.22049634,0.77033764,0.009166133
374,0.1971963,0.69478405,0.10801962
375,0.12458177,0.8429957,0.032422524
376,0.36798713,0.61568296,0.016329993
377,0.0138599435,0.10491322,0.8812268
378,0.03736056,0.8051002,0.15753928
379,0.33776549,0.64967704,0.012557554
380,0.017004158,0.60278845,0.38020727
381,0.07976349,0.52151525,0.39872134
382,0.6671107,0.32889542,0.0039937655
383,0.12749556,0.77780914,0.09469531
384,0.93860936,0.056882523,0.004508256
385,0.083662905,0.9027687,0.013568511
386,0.516795,0.47872883,0.0044762148
387,0.967528,0.030228725,0.002243252
388,0.13777357,0.8529096,0.0093169445
389,0.0078551285,0.088804185,0.90334076
390,0.62104017,0.37087557,0.0080843065
391,0.14575666,0.823587,0.030656373
392,0.030116325,0.80664986,0.16323382
393,0.10857055,0.8784161,0.013013385
394,0.2942125,0.68998003,0.01580748
395,0.40382478,0.58225316,0.013922042
396,0.007402576,0.09947898,0.8931184
397,0.20719567,0.7808241,0.011980211
398,0.18164799,0.8051111,0.013240736
