,Positive,Neutral,Negative
89,0.6647273,0.27572754,0.059545327
90,0.51679504,0.47872865,0.0044762106
91,0.040755022,0.5549568,0.40428808
92,0.6108182,0.3814605,0.007721308
93,0.033890482,0.36837012,0.59773934
94,0.017220495,0.2981245,0.684655
95,0.7327497,0.23133776,0.035912573
96,0.8528307,0.1431146,0.0040547727
97,0.2119528,0.7822205,0.005826704
98,0.51679504,0.47872865,0.0044762106
99,0.15411519,0.8378798,0.0080051655
100,0.51591694,0.45601416,0.028069012
101,0.14464027,0.8406093,0.014750493
102,0.22615685,0.77063215,0.0032108305
103,0.8155585,0.15808164,0.026359757
104,0.05410245,0.71372396,0.23217358
105,0.073560975,0.85574716,0.0706919
106,0.07955094,0.7835408,0.13690831
107,0.012356254,0.23586716,0.75177646
108,0.9770199,0.020710606,0.0022693244
109,0.51679504,0.47872865,0.0044762106
110,0.97430074,0.023325345,0.0023738176
111,0.15411519,0.8378798,0.0080051655
112,0.24792506,0.743075,0.008999789
113,0.0806198,0.90181494,0.017565088
114,0.07259271,0.6987899,0.22861739
115,0.6081734,0.3840995,0.0077270833
116,0.06611962,0.90600425,0.027876154
117,0.7387536,0.25285587,0.008390319
118,0.51679504,0.47872865,0.0044762106
119,0.9824495,0.015755089,0.001795454
120,0.51679504,0.47872865,0.0044762106
121,0.21772721,0.7752757,0.006997062
122,0.18387559,0.80776155,0.008362934
123,0.45344886,0.53323185,0.013319238
124,0.3077701,0.67861664,0.0136132715
125,0.60976166,0.38262776,0.0076105082
126,0.1171099,0.867183,0.015707
127,0.51679504,0.47872865,0.0044762106
128,0.5104805,0.48417857,0.005340838
129,0.8486884,0.1479686,0.0033430348
130,0.8893658,0.10666147,0.003972755
131,0.06774678,0.72143847,0.21081467
132,0.22305134,0.7720819,0.0048665437
133,0.4058881,0.58479303,0.009318766
134,0.12986882,0.8541553,0.015975824
135,0.5430782,0.45141497,0.005506836
136,0.0836104,0.90546894,0.010920722
137,0.8901983,0.10677307,0.0030288144
138,0.024944093,0.37905553,0.59600043
139,0.76746696,0.22817509,0.00435804
140,0.15334508,0.83531,0.01134499
141,0.061450224,0.7488683,0.1896814
142,0.91297346,0.081186496,0.0058401395
143,0.17736672,0.70399517,0.11863812
144,0.42695904,0.5645637,0.008477105
145,0.57819754,0.4136532,0.008149402
146,0.2573529,0.6358308,0.10681633
147,0.2573529,0.6358308,0.10681633
148,0.067633174,0.9186064,0.013760494
149,0.2573529,0.6358308,0.10681633
150,0.2573529,0.6358308,0.10681633
151,0.2573529,0.6358308,0.10681633
152,0.2573529,0.6358308,0.10681633
153,0.2573529,0.6358308,0.10681633
154,0.2573529,0.6358308,0.10681633
155,0.2573529,0.6358308,0.10681633
156,0.2573529,0.6358308,0.10681633
157,0.37141746,0.62331635,0.005266261
158,0.2573529,0.6358308,0.10681633
159,0.2573529,0.6358308,0.10681633
160,0.2573529,0.6358308,0.10681633
161,0.481749,0.5136742,0.004576801
162,0.2573529,0.6358308,0.10681633
163,0.2573529,0.6358308,0.10681633
164,0.2573529,0.6358308,0.10681633
165,0.2573529,0.6358308,0.10681633
166,0.2573529,0.6358308,0.10681633
167,0.2573529,0.6358308,0.10681633
168,0.2573529,0.6358308,0.10681633
169,0.2573529,0.6358308,0.10681633
170,0.2573529,0.6358308,0.10681633
171,0.2573529,0.6358308,0.10681633
172,0.2573529,0.6358308,0.10681633
173,0.2573529,0.6358308,0.10681633
174,0.2573529,0.6358308,0.10681633
175,0.2573529,0.6358308,0.10681633
176,0.2573529,0.6358308,0.10681633
177,0.022707198,0.91632384,0.060968913
178,0.2573529,0.6358308,0.10681633
179,0.2573529,0.6358308,0.10681633
180,0.597621,0.39457884,0.00780013
181,0.2573529,0.6358308,0.10681633
182,0.2573529,0.6358308,0.10681633
183,0.2573529,0.6358308,0.10681633
184,0.2573529,0.6358308,0.10681633
185,0.2573529,0.6358308,0.10681633
186,0.2573529,0.6358308,0.10681633
187,0.2573529,0.6358308,0.10681633
188,0.2573529,0.6358308,0.10681633
189,0.108664274,0.861495,0.029840678
190,0.2573529,0.6358308,0.10681633
191,0.26618484,0.72713715,0.0066779796
192,0.2573529,0.6358308,0.10681633
193,0.2573529,0.6358308,0.10681633
194,0.22714661,0.6972,0.07565349
195,0.2573529,0.6358308,0.10681633
196,0.055375893,0.9266338,0.017990328
197,0.2573529,0.6358308,0.10681633
198,0.2573529,0.6358308,0.10681633
199,0.2573529,0.6358308,0.10681633
200,0.060562868,0.36046046,0.5789767
201,0.135429,0.8459306,0.018640481
202,0.06384879,0.9201904,0.015960762
203,0.51591694,0.45601416,0.028069012
204,0.6043331,0.38794926,0.0077176346
205,0.060562868,0.36046046,0.5789767
206,0.98587334,0.01143205,0.002694662
207,0.25367868,0.7363886,0.009932683
208,0.22049648,0.77033734,0.009166133
209,0.1800643,0.61287177,0.20706384
210,0.03736057,0.8051004,0.15753901
