,time,open,high,low,close,volume
6191,2022-11-10 06:10:00,179.3,179.39,179.3,179.35,1929
6192,2022-11-10 06:09:00,179.12,179.12,179.1,179.1,1399
6193,2022-11-10 06:08:00,179.15,179.15,179.1,179.1,3854
6194,2022-11-10 06:07:00,179.25,179.25,179.16,179.16,1542
6195,2022-11-10 06:06:00,179.41,179.41,179.25,179.3,1715
6196,2022-11-10 06:05:00,179.38,179.4,179.38,179.4,1678
6197,2022-11-10 06:04:00,179.41,179.41,179.4,179.41,1229
6198,2022-11-10 06:03:00,179.31,179.4,179.31,179.4,2330
6199,2022-11-10 06:02:00,179.2,179.2,179.2,179.2,1021
6200,2022-11-10 06:01:00,179.46,179.47,179.15,179.16,5586
6201,2022-11-10 06:00:00,179.3,179.3,179.15,179.27,5083
6202,2022-11-10 05:59:00,179.47,179.47,179.37,179.37,1640
6203,2022-11-10 05:58:00,179.47,179.5,179.47,179.5,1223
6204,2022-11-10 05:57:00,179.53,179.53,179.5,179.5,4034
6205,2022-11-10 05:56:00,179.24,179.49,179.24,179.49,3585
6206,2022-11-10 05:55:00,179.17,179.2,179.17,179.2,1719
6207,2022-11-10 05:53:00,179.18,179.19,179.1,179.1,1434
6208,2022-11-10 05:52:00,179.02,179.15,179.02,179.15,1618
6209,2022-11-10 05:51:00,179.0,179.0,179.0,179.0,2921
6210,2022-11-10 05:50:00,179.15,179.25,179.0,179.0,5793
6211,2022-11-10 05:49:00,178.9,179.12,178.89,179.12,4939
6212,2022-11-10 05:48:00,178.86,178.9,178.86,178.9,2270
6213,2022-11-10 05:47:00,178.77,178.8,178.77,178.8,1509
6214,2022-11-10 05:46:00,178.68,178.7,178.68,178.7,2330
6215,2022-11-10 05:45:00,178.67,178.68,178.67,178.68,1186
6216,2022-11-10 05:44:00,178.6,178.6,178.6,178.6,1183
6217,2022-11-10 05:43:00,178.57,178.57,178.56,178.56,1981
6218,2022-11-10 05:41:00,178.57,178.69,178.57,178.69,3626
6219,2022-11-10 05:37:00,178.56,178.56,178.5,178.5,9945
6220,2022-11-10 05:35:00,178.55,178.55,178.55,178.55,1063
6221,2022-11-10 05:34:00,178.62,178.66,178.62,178.66,1741
6222,2022-11-10 05:33:00,178.59,178.6,178.59,178.6,9524
6223,2022-11-10 05:32:00,178.51,178.55,178.51,178.55,1727
6224,2022-11-10 05:31:00,178.54,178.54,178.54,178.54,370
6225,2022-11-10 05:30:00,178.53,178.54,178.53,178.53,1413
6226,2022-11-10 05:29:00,178.49,178.49,178.49,178.49,564
6227,2022-11-10 05:28:00,178.3,178.5,178.3,178.49,4368
6228,2022-11-10 05:27:00,178.38,178.45,178.3,178.3,4924
6229,2022-11-10 05:25:00,178.35,178.38,178.35,178.38,2672
6230,2022-11-10 05:24:00,178.35,178.35,178.35,178.35,1212
6231,2022-11-10 05:22:00,178.45,178.45,178.4,178.4,1058
6232,2022-11-10 05:21:00,178.45,178.46,178.45,178.46,703
6233,2022-11-10 05:20:00,178.45,178.45,178.45,178.45,990
6234,2022-11-10 05:19:00,178.41,178.41,178.41,178.41,600
